no,troncon_associe,nom,type,description,cours_eau,superficie,latitude,longitude,regime,etat,lien_historique,lien_suivi_hydro,prev_hydrologique,prev_hydraulique,debut,fin,combinaison
"030210","-","Saint-François","Débit","au pont-route près de Bishopton","Saint-François, Rivière",3150.0,45.5805858671,-71.5642317512,"Influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030210","S.O.","S.O.","S.O.",1921,1929,""
"030214","-","Eaton","Débit","à 0,6 km de la rivière Saint-François","Eaton, Rivière",642.0,45.4675302657,-71.6545156811,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030214","S.O.","S.O.","S.O.",1932,1945,"030234, 030233, 030214"
"030215","SLSO02154","Coaticook","Débit","à 1,1 km en aval du pont-rue Principale Nord à Waterville","Coaticook, Rivière",514.0,45.2844166667,-71.9006944444,"Peu influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030215","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=030215","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=030215","S.O.",1959,"",""
"030217","-","Aux Saumons","Débit","à 2,6 km en amont du ruisseau Haseltine","Saumons, Rivière aux",213.0,45.3083652006,-71.7678550808,"Peu influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030217","S.O.","S.O.","S.O.",1954,1965,"030246, 030217"
"030219","SLSO01636","Au Saumon","Débit","à 11,9 km de la rivière Saint-François","Saumon, Rivière au",839.0,45.6216956046,-71.3928365793,"Peu influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030219","S.O.","S.O.","S.O.",1938,1977,"030282, 030219"
"040134","OUTV03356","Bonniebrook","Débit et Niveau","en amont du pont de la rue du Mont Castel","Bonniebrook, Ruisseau",72.26,45.766931,-74.137295,"Peu influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=040134","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=040134","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=040134","S.O.",2019,"",""
"030222","-","Lac Memphrémagog","Niveau","à Magog","Memphrémagog, Lac",1770.0,45.2675,-72.1613888889,"Influencé","Ouverte","www.eau.ec.gc.ca","https://www.cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=030222","S.O.","S.O.",1920,"",""
"030223","-","Watopeka","Débit","à 3,9 km de la rivière Saint-François","Watopeka, Rivière",330.0,45.5853106777,-71.9792477681,"Influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030223","S.O.","S.O.","S.O.",1955,1972,"030223, 030226"
"096102","-","Naturel","Débit et Niveau","à la station de pompage, près de l'aéroport à Inukjuak","Innuksuac, Rivière",10698.0,58.466950542,-78.0659692903,"Non influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=096102","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=096102","S.O.","S.O.",2018,"","096102, 096101"
"030226","-","Watopeka","Débit","au réservoir de Windsor à 4,0 km de la rivière Saint-François","Watopeka, Rivière",330.0,45.5864217836,-71.9784143952,"Influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030226","S.O.","S.O.","S.O.",1936,1955,"030223, 030226"
"030230","-","Coaticook","Niveau","au pont-route 147 près de North-Coaticook","Coaticook, Rivière",386.0,45.1736432903,-71.8020250927,"Influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030230","S.O.","S.O.","S.O.",1930,1972,""
"030231","-","Massawippi","Niveau","à 0,3 km de la rivière Saint-François","Massawippi, Rivière",1690.0,45.3666993658,-71.8503571438,"Influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030231","S.O.","S.O.","S.O.",1964,1982,""
"030232","SLSO02332","Au Saumon","Débit","à 4,2 km de la rivière Saint-François","Saumon, Rivière au",270.0,45.6050340336,-72.1392531758,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030232","S.O.","S.O.","S.O.",1931,1936,""
"030233","-","Eaton","Débit","à 0,6 km de la rivière Saint-François","Eaton, Rivière",642.0,45.4675302657,-71.6545156811,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030233","S.O.","S.O.","S.O.",1945,1953,"030234, 030233, 030214"
"030234","SLSO01945","Eaton","Débit et Niveau","à 0,6 km de la rivière Saint-François","Eaton, Rivière",646.0,45.4679722222,-71.6549722222,"Non influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030234","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=030234","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=030234","S.O.",1953,"","030234, 030233, 030214"
"030235","-","Coaticook","Niveau","en amont de la centrale de Coaticook","Coaticook, Rivière",358.0,45.1447545515,-71.8120257392,"Influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030235","S.O.","S.O.","S.O.",1966,1982,""
"030236","-","Lac Lovering","Niveau","au lac Lovering à Stanstead","Lovering, Lac",42.3,45.1467005024,-72.153703877,"Influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030236","S.O.","S.O.","S.O.",1965,1982,""
"030238","SLSO01974","Eaton","Débit","à 1,1 km en amont de la Clifton","Eaton, Rivière",87.2,45.3341962115,-71.5303465716,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030238","S.O.","S.O.","S.O.",1965,1978,""
"030239","SLSO02020","Eaton Nord","Débit","à 6,8 km de la rivière Eaton","Eaton Nord, Rivière",267.0,45.3753074802,-71.5295123512,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030239","S.O.","S.O.","S.O.",1965,1975,""
"030240","-","Saint-François","Niveau","au parc des voltigeurs à Drummondville","Saint-François, Rivière",9930.0,45.9147582356,-72.4909276534,"Influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030240","S.O.","S.O.","S.O.",1965,1972,""
"030241","-","Lac Massawippi","Niveau","au quai passerelle à North-Hatley","Massawippi, Lac",608.0,45.2763055556,-71.9735,"Influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030241","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=030241","S.O.","S.O.",1965,"",""
"030242","SLSO01972","Eaton","Débit et Niveau","en aval du pont-route 210 à Sawyerville","Eaton, Rivière",192.67,45.3405852346,-71.5672924515,"Non influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030242","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=030242","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=030242","S.O.",1966,1982,""
"030244","-","Saint-François","Niveau","à 0,3 km en amont du pont-route 143 à Bromptonville","Saint-François, Rivière",8120.0,45.4750329038,-71.9378586258,"Influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030244","S.O.","S.O.","S.O.",1967,1980,"030281, 030244"
"030246","SLSO02247","Aux Saumons","Débit","à 0,5 km en amont du ruisseau Haseltine","Saumons, Rivière aux",217.0,45.3244763803,-71.7725772543,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030246","S.O.","S.O.","S.O.",1968,1987,"030246, 030217"
"030247","-","Barrage Bombardier","Niveau","au lac Brompton à Saint-Denis-de-Brompton","Brompton, Lac",140.0,45.4708055556,-72.1315277778,"Influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030247","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=030247","S.O.","S.O.",1968,"",""
"030253","SLSO01955","Birchton","Débit","à 0,2 km de la rivière Eaton","Birchton, Ruisseau",21.9,45.4044745233,-71.6020148628,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030253","S.O.","S.O.","S.O.",1968,1972,""
"030260","SLSO02104","Tomifobia","Débit","à 0,3 km en aval du pont-route 245 à Boynton","Tomifobia, Rivière",214.0,45.1103112062,-72.0828691499,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030260","S.O.","S.O.","S.O.",1972,1986,""
"030262","SLSO01214","Saint-Germain","Débit","au pont-route 122 à Drummondville","Saint-Germain, Rivière",262.0,45.8766111111,-72.5101666667,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030262","S.O.","S.O.","S.O.",1972,2014,"030299, 030291, 030262"
"030263","SLSO02305","Kee","Débit","à 2,6 km de la rivière Saint-Francois","Kee, Ruisseau",130.0,45.4691996699,-71.9656375167,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030263","S.O.","S.O.","S.O.",1973,1978,""
"030268","-","Barrage Stukely","Niveau","au lac Stukely à Orford","Stukely, Lac",18.2,45.3939722222,-72.2260555556,"Influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030268","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=030268","S.O.","S.O.",1990,"",""
"030273","SLSO01325","Stoke","Débit","au pont-route 216 à Stoke","Stoke, Rivière",75.4,45.540309461,-71.7986849706,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030273","S.O.","S.O.","S.O.",1972,1978,""
"030274","SLSO01771","Au Canard","Débit","au pont-route 112 près de Weedon","Canard, Rivière au",99.5,45.7286404017,-71.4528365405,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030274","S.O.","S.O.","S.O.",1973,1981,""
"030275","SLSO01853","Aux Bluets","Débit","au pont-route 108","Bluets, Rivière aux",206.0,45.8833608364,-71.0164288839,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030275","S.O.","S.O.","S.O.",1972,1978,""
"023448","SLSO00253","Chaudière","Débit","à St-Martin à la passerelle de motoneige","Chaudière, Rivière",2009.0,45.9483583333,-70.6572111111,"Influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=023448","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=023448","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=023448","https://www.cehq.gouv.qc.ca/prevision/previsions.asp?Zone=Chaudiere&Secteur=Chaudiere",2012,"",""
"030280","-","Au Saumon","Niveau","à 1,3 km en aval du réservoir Aylmer","Saumon, Rivière au",1730.0,45.748917808,-71.4103344072,"Influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030280","S.O.","S.O.","S.O.",1977,1991,""
"030281","-","Saint-François","Niveau","au barrage Larocque","Saint-François, Rivière",8120.0,45.4780885176,-71.952581327,"Influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030281","S.O.","S.O.","S.O.",1980,1995,"030281, 030244"
"030282","SLSO01659","Au Saumon","Débit","à 1,9 km en amont du ruisseau McGill","Saumon, Rivière au",769.0,45.5798611111,-71.3850555556,"Non influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030282","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=030282","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=030282","https://www.cehq.gouv.qc.ca/prevision/previsions.asp?secteur=Haut-Saint-Francois",1974,"","030282, 030219"
"030283","-","Barrage de Waterville","Niveau","sur la rivière Coaticook à Waterville","Coaticook, Rivière",514.0,45.2791944444,-71.8914722222,"Influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030283","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=030283","S.O.","S.O.",1978,"",""
"030298","-","Saint-François","Débit","à 1 km à l'aval du barrage Aylmer","Saint-François, Rivière",1730.0,45.7529166667,-71.4099722222,"Influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030298","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=030298","S.O.","https://www.cehq.gouv.qc.ca/prevision/previsions.asp?secteur=Haut-Saint-Francois",2012,"",""
"030289","-","Lac Louise","Niveau","à Weedon","Louise, Lac",1847.0,45.7381111111,-71.4219166667,"Influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030289","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=030289","S.O.","https://www.cehq.gouv.qc.ca/prevision/previsions.asp?secteur=Haut-Saint-Francois",1984,"",""
"030291","SLSO01214","Saint-Germain","Débit","au pont-route 55 près de Drummondville","Saint-Germain, Rivière",244.0,45.8582333333,-72.5230694444,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030291","S.O.","S.O.","S.O.",1985,1996,"030299, 030291, 030262"
"030296","-","Lac Aylmer","Niveau","au quai de la municapalité de Stratford","Aylmer, Lac",1719.0,45.80625,-71.326,"Influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030296","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=030296","S.O.","https://www.cehq.gouv.qc.ca/prevision/previsions.asp?secteur=Haut-Saint-Francois",2007,"",""
"030297","-","Barrage Lyster","Niveau","à Coaticook","Lyster, Lac",14.0,45.0363888889,-71.9117555556,"Influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030297","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=030297","S.O.","S.O.",2008,"",""
"061029","-","Aux Sables","Débit","à 75 m en amont du pont suspendu de Cépal","Sables, Rivière aux",3400.0,48.3723888889,-71.2860833333,"Influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=061029","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=061029","https://www.cehq.gouv.qc.ca/prevision/previsions.asp?Zone=Saguenay&Secteur=Aux-Sables","https://www.cehq.gouv.qc.ca/prevision/previsions.asp?Zone=Saguenay&Secteur=Aux-Sables",2008,"","061029, 061023, 061021"
"030299","SLSO01214","St-Germain","Débit","au pont du boulevard des Pins à Drummondville","Saint-Germain, Rivière",273.0,45.8965388889,-72.5054861111,"Non influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030299","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=030299","S.O.","S.O.",2014,"","030299, 030291, 030262"
"071203","-","Aux Anglais","Débit","à la décharge du lac Inconnu à Baie-Comeau","Anglais, Rivière aux",431.0,49.3227777778,-68.1571944444,"Influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=071203","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=071203","S.O.","S.O.",2008,"",""
"030301","-","Yamaska","Débit","à 1,0 km en aval du lac Brome","Yamaska, Rivière",188.0,45.2844803313,-72.50982719,"Influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030301","S.O.","S.O.","S.O.",1925,1973,""
"050501","-","La Chevrotière","Débit","sur la route du Moulin","La Chevrotière, Rivière",19.4,46.7371666667,-72.0008888889,"Non influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=050501","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=050501","S.O.","S.O.",2006,"",""
"030304","MONT00051","Noire","Débit","à 7,6 km de la Yamaska","Noire, Rivière",1505.0,45.4996944444,-72.9057777778,"Peu influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030304","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=030304","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=030304","S.O.",1965,"",""
"030305","MONT00475","Delorme","Débit","à 1,6 km de la rivière Yamaska","Delorme, Rivière",87.0,45.6778156086,-72.9126149921,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030305","S.O.","S.O.","S.O.",1966,1978,""
"030306","-","Yamaska","Niveau","à 0,2 km en amont du barrage à Saint-Hyacinthe","Yamaska, Rivière",3310.0,45.6218888889,-72.9507777778,"Influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030306","S.O.","S.O.","S.O.",1966,2002,""
"030307","-","Lac Brome","Niveau","à Lac-Brome","Brome, Lac",188.0,45.2450356344,-72.4906603034,"Influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030307","S.O.","S.O.","S.O.",1966,1995,""
"011707","GASP00469","Madawaska","Débit","à 6 km en aval du barrage Témiscouata","Madawaska, Rivière",2708.0,47.5375,-68.5997222222,"Influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=011707","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=011707","S.O.","S.O.",2004,"","011707, 011702"
"030310","-","Lac Brome","Niveau","à Lac-Brome","Brome, Lac",188.0,45.2425362006,-72.5445511867,"Influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030310","S.O.","S.O.","S.O.",1947,1965,""
"030312","-","Lac Brome","Niveau","au barrage du lac Brome","Brome, Lac",188.0,45.2839247606,-72.5087160456,"Influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030312","S.O.","S.O.","S.O.",1935,1956,""
"030314","MONT00413","Yamaska Sud-Est","Débit et Niveau","au pont-route 202 à Cowansville","Yamaska Sud-Est, Rivière",214.0,45.2062222222,-72.7475833333,"Peu influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030314","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=030314","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=030314","S.O.",1968,"",""
"030315","MONT00087","Noire","Débit et Niveau","à 2,3 km en amont du pont-route 116","Noire, Rivière",729.6,45.638109,-72.654338,"Non influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030315","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=030315","S.O.","S.O.",1969,"","030346, 030339, 030315"
"030316","MONT00026","David","Débit","130m en aval du pont-route à Saint-David","David, Rivière",323.0,45.9540555556,-72.8596388889,"Peu influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030316","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=030316","S.O.","S.O.",1969,"",""
"030318","MONT00102","Noire","Débit","au pont-route à 6,8 km en aval du ruisseau Brandy","Noire, Rivière",271.0,45.5114243015,-72.3748185893,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030318","S.O.","S.O.","S.O.",1970,1978,""
"030322","MONT00470","Sud-Ouest","Débit","au pont-route à Sainte-Brigide-d'Iberville","Sud-Ouest, Rivière du",96.2,45.3764280776,-73.0301237312,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030322","S.O.","S.O.","S.O.",1972,1982,""
"030323","-","Cours d'eau no 03034015","Débit","à 3,9 km de la rivière Yamaska Nord","Trib.45D.23M.31S.-72D.40M.07S.",16.6,45.3958699206,-72.634274666,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030323","S.O.","S.O.","S.O.",1972,1980,""
"030324","-","Quilliams","Débit","à 1,6 km en amont du Lac Brome","Quilliams, Ruisseau",66.7,45.2733690755,-72.4806596142,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030324","S.O.","S.O.","S.O.",1972,1978,""
"030326","-","Barrage Choinière","Niveau","sur la rivière Yamaska Nord à Roxton Pond","Yamaska Nord, Rivière",131.0,45.4173551196,-72.6096019521,"Influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030326","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=030326","S.O.","S.O.",1977,"",""
"030327","MONT00498","Saint-Louis","Débit","au pont-route 132","Saint-Louis, Rivière",53.3,46.016982011,-72.9295525503,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030327","S.O.","S.O.","S.O.",1972,1979,""
"030328","MONT00480","Salvail","Débit","à 6,1 km de la rivière Yamaska","Salvail, Rivière",149.0,45.7742049922,-72.9906708422,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030328","S.O.","S.O.","S.O.",1972,1978,""
"030329","MONT00178","Runnels","Débit","à 11,4 km de la rivière Noire","Runnels, Ruisseau",33.6,45.5286111111,-72.6205555556,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030329","S.O.","S.O.","S.O.",1972,1986,""
"030332","-","Lac Waterloo","Niveau","au lac Waterloo à Waterloo","Waterloo, Lac",31.2,45.3383277778,-72.5160055556,"Influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030332","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=030332","S.O.","S.O.",1977,"",""
"030333","MONT00092","Jaune","Débit","à 3,4 km en amont du pont-route 139","Jaune, Rivière",63.4,45.5878128567,-72.5062114293,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030333","S.O.","S.O.","S.O.",1978,1986,""
"030334","-","Yamaska","Débit","à 0,6 km en aval du barrage à Saint-Hyacinthe","Yamaska, Rivière",3330.0,45.6217048625,-72.9390059756,"Peu influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030334","S.O.","S.O.","S.O.",1977,1983,"030345, 030341, 030334"
"030335","MONT00248","Yamaska Nord","Débit","à 0,1 km en aval du pont-route 243 près de Warden","Yamaska Nord, Rivière",59.3,45.3839247463,-72.5012142123,"Peu influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030335","S.O.","S.O.","S.O.",1978,1997,""
"030337","MONT00395","Yamaska sud-est","Débit","à 3,7 km de l'embouchure","Yamaska Sud-Est, Rivière",408.0,45.2714272586,-72.9234545314,"Peu influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030337","S.O.","S.O.","S.O.",1980,1990,""
"030339","-","Noire","Débit","à 4,1 km en amont du ruisseau Runnels","Noire, Rivière",583.0,45.6186465272,-72.6042704405,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030339","S.O.","S.O.","S.O.",1981,1997,"030346, 030339, 030315"
"030340","MONT00230","Yamaska Nord","Débit","à 2,4 km en amont de l'autoroute 10","Yamaska Nord, Rivière",235.0,45.3602777778,-72.7802222222,"Influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030340","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=030340","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=030340","S.O.",1983,"","030340, 0303A0"
"030341","MONT00048","Yamaska","Débit","à 0,3 km en aval du barrage à Saint-Hyacinthe","Yamaska, Rivière",3310.0,45.6211493338,-72.9451173317,"Peu influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030341","S.O.","S.O.","S.O.",1983,1994,"030345, 030341, 030334"
"030342","-","Barrage de Waterloo","Niveau","à Waterloo","Waterloo, Lac",31.2,45.3501333333,-72.5154194444,"Influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030342","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=030342","S.O.","S.O.",1984,"",""
"030343","MONT00252","Yamaska Nord","Débit","à 0,1 km en aval du barrage du lac Waterloo","Yamaska Nord, Rivière",31.2,45.350261111,-72.5153973172,"Influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030343","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=030343","S.O.","S.O.",1984,"",""
"030344","MONT00042","Chibouet","Débit","à 1,0 km de l'embouchure","Chibouet, Rivière",159.0,45.7885633347,-72.8618404436,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030344","S.O.","S.O.","S.O.",1988,1998,""
"030345","MONT00048","Yamaska","Débit et Niveau","à 1,8 km en aval du barrage à Saint-Hyacinthe","Yamaska, Rivière",3334.0,45.6288611111,-72.9390833333,"Influencé","Ouverte","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030345","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=030345","https://cehq.gouv.qc.ca/suivihydro/graphique.asp?NoStation=030345","S.O.",1994,"","030345, 030341, 030334"
"030346","MONT00088","Noire","Débit","à 50 m en amont du pont-route McDonald","Noire, Rivière",585.0,45.6267777778,-72.5839444444,"Non influencé","Fermée","https://www.cehq.gouv.qc.ca/hydrometrie/historique_donnees/fiche_station.asp?NoStation=030346","S.O.","S.O.","S.O.",1996,2003,"030346, 030339, 030315"
